NAME                     VERSION                         TYPE                     
Simple Launcher          1.1.0.14                        binary  (+5 duplicates)  
adduser                  3.134                           deb                      
annotated-doc            0.0.4                           python                   
annotated-types          0.7.0                           python                   
anyio                    4.13.0                          python                   
apt                      2.6.1                           deb                      
autocommand              2.2.2                           python                   
backports-tarfile        1.2.0                           python                   
base-files               12.4+deb12u14                   deb                      
base-passwd              3.6.1                           deb                      
bash                     5.2.15-2+b13                    deb                      
bsdutils                 1:2.38.1-5+deb12u3              deb                      
ca-certificates          20230311+deb12u1                deb                      
certifi                  2026.5.20                       python                   
cli                      UNKNOWN                         binary                   
cli-32                   UNKNOWN                         binary                   
cli-64                   UNKNOWN                         binary                   
cli-arm64                UNKNOWN                         binary                   
click                    8.4.1                           python                   
coreutils                9.1-1                           deb                      
dash                     0.5.12-2                        deb                      
dbus                     1.14.10-1~deb12u1               deb                      
dbus-bin                 1.14.10-1~deb12u1               deb                      
dbus-daemon              1.14.10-1~deb12u1               deb                      
dbus-session-bus-common  1.14.10-1~deb12u1               deb                      
dbus-system-bus-common   1.14.10-1~deb12u1               deb                      
debconf                  1.5.82                          deb                      
debian-archive-keyring   2023.3+deb12u2                  deb                      
debianutils              5.7-0.5~deb12u1                 deb                      
diffutils                1:3.8-4                         deb                      
dmsetup                  2:1.02.185-2                    deb                      
dpkg                     1.21.23                         deb                      
e2fsprogs                1.47.0-2+b2                     deb                      
fastapi                  0.136.3                         python                   
findutils                4.9.0-4                         deb                      
gcc-12-base              12.2.0-14+deb12u1               deb                      
gpgv                     2.2.40-1.1+deb12u2              deb                      
grep                     3.8-5                           deb                      
gui                      UNKNOWN                         binary                   
gui-32                   UNKNOWN                         binary                   
gui-64                   UNKNOWN                         binary                   
gui-arm64                UNKNOWN                         binary                   
gzip                     1.12-1                          deb                      
h11                      0.16.0                          python                   
hostname                 3.23+nmu1                       deb                      
httpcore                 1.0.9                           python                   
httptools                0.8.0                           python                   
httpx                    0.28.1                          python                   
idna                     3.18                            python                   
importlib-metadata       8.0.0                           python                   
inflect                  7.3.1                           python                   
init-system-helpers      1.65.2+deb12u1                  deb                      
jaraco-collections       5.1.0                           python                   
jaraco-context           5.3.0                           python                   
jaraco-functools         4.0.1                           python                   
jaraco-text              3.12.1                          python                   
libacl1                  2.3.1-3                         deb                      
libapparmor1             3.0.8-3                         deb                      
libapt-pkg6.0            2.6.1                           deb                      
libargon2-1              0~20171227-0.3+deb12u1          deb                      
libattr1                 1:2.5.1-4                       deb                      
libaudit-common          1:3.0.9-1                       deb                      
libaudit1                1:3.0.9-1                       deb                      
libblkid1                2.38.1-5+deb12u3                deb                      
libbluetooth3            5.66-1+deb12u2                  deb                      
libbrotli1               1.0.9-2+b6                      deb                      
libbz2-1.0               1.0.8-5+b1                      deb                      
libc-bin                 2.36-9+deb12u14                 deb                      
libc6                    2.36-9+deb12u14                 deb                      
libcap-ng0               0.8.3-1+b3                      deb                      
libcap2                  1:2.66-4+deb12u3+b1             deb                      
libcom-err2              1.47.0-2+b2                     deb                      
libcrypt1                1:4.4.33-2                      deb                      
libcryptsetup12          2:2.6.1-4~deb12u2               deb                      
libcurl3-gnutls          7.88.1-10+deb12u14              deb                      
libdb5.3                 5.3.28+dfsg2-1                  deb                      
libdbus-1-3              1.14.10-1~deb12u1               deb                      
libdebconfclient0        0.270                           deb                      
libdevmapper1.02.1       2:1.02.185-2                    deb                      
libduktape207            2.7.0-2                         deb                      
libexpat1                2.5.0-1+deb12u2                 deb                      
libext2fs2               1.47.0-2+b2                     deb                      
libfdisk1                2.38.1-5+deb12u3                deb                      
libffi8                  3.4.4-1                         deb                      
libgcc-s1                12.2.0-14+deb12u1               deb                      
libgcrypt20              1.10.1-3+deb12u1                deb                      
libgdbm6                 1.23-3                          deb                      
libglib2.0-0             2.74.6-2+deb12u9                deb                      
libgmp10                 2:6.2.1+dfsg1-1.1               deb                      
libgnutls30              3.7.9-2+deb12u7                 deb                      
libgpg-error0            1.46-1                          deb                      
libgssapi-krb5-2         1.20.1-2+deb12u5                deb                      
libhogweed6              3.8.1-2                         deb                      
libidn2-0                2.3.3-1+b1                      deb                      
libip4tc2                1.8.9-2                         deb                      
libjansson4              2.14-2                          deb                      
libjson-c5               0.16-2                          deb                      
libk5crypto3             1.20.1-2+deb12u5                deb                      
libkeyutils1             1.6.3-2                         deb                      
libkmod2                 30+20221128-1                   deb                      
libkrb5-3                1.20.1-2+deb12u5                deb                      
libkrb5support0          1.20.1-2+deb12u5                deb                      
libldap-2.5-0            2.5.13+dfsg-5                   deb                      
liblz4-1                 1.9.4-1                         deb                      
liblzma5                 5.4.1-1                         deb                      
libmd0                   1.0.4-2                         deb                      
libmm-glib0              1.20.4-1                        deb                      
libmount1                2.38.1-5+deb12u3                deb                      
libncursesw6             6.4-4                           deb                      
libndp0                  1.8-1+deb12u1                   deb                      
libnettle8               3.8.1-2                         deb                      
libnewt0.52              0.52.23-1+b1                    deb                      
libnghttp2-14            1.52.0-1+deb12u3                deb                      
libnm0                   1.42.4-1+deb12u1                deb                      
libnsl2                  1.3.0-2                         deb                      
libp11-kit0              0.24.1-2                        deb                      
libpam-modules           1.5.2-6+deb12u2                 deb                      
libpam-modules-bin       1.5.2-6+deb12u2                 deb                      
libpam-runtime           1.5.2-6+deb12u2                 deb                      
libpam-systemd           252.39-1~deb12u2                deb                      
libpam0g                 1.5.2-6+deb12u2                 deb                      
libpcre2-8-0             10.42-1                         deb                      
libpolkit-agent-1-0      122-3                           deb                      
libpolkit-gobject-1-0    122-3                           deb                      
libpsl5                  0.21.2-1                        deb                      
libreadline8             8.2-1.3                         deb                      
librtmp1                 2.4+20151223.gitfa8646d.1-2+b2  deb                      
libsasl2-2               2.1.28+dfsg-10                  deb                      
libsasl2-modules-db      2.1.28+dfsg-10                  deb                      
libseccomp2              2.5.4-1+deb12u1                 deb                      
libselinux1              3.4-1+b6                        deb                      
