NAME                                              VERSION                             TYPE       
alpine-baselayout                                 3.6.5-r0                            apk        
alpine-baselayout-data                            3.6.5-r0                            apk        
alpine-keys                                       2.4-r1                              apk        
apk-tools                                         2.14.4-r1                           apk        
busybox                                           1.36.1-r29                          apk        
busybox-binsh                                     1.36.1-r29                          apk        
ca-certificates-bundle                            20241121-r1                         apk        
dumb-init                                         1.2.5-r3                            apk        
github.com/eclipse/paho.mqtt.golang               v1.5.0                              go-module  
github.com/edgexfoundry/edgex-go                  UNKNOWN                             go-module  
github.com/edgexfoundry/go-mod-bootstrap/v4       v4.0.3                              go-module  
github.com/edgexfoundry/go-mod-configuration/v4   v4.0.1                              go-module  
github.com/edgexfoundry/go-mod-core-contracts/v4  v4.0.1                              go-module  
github.com/edgexfoundry/go-mod-messaging/v4       v4.0.1                              go-module  
github.com/edgexfoundry/go-mod-registry/v4        v4.0.1                              go-module  
github.com/edgexfoundry/go-mod-secrets/v4         v4.0.1                              go-module  
github.com/fxamacker/cbor/v2                      v2.7.0                              go-module  
github.com/gabriel-vasile/mimetype                v1.4.8                              go-module  
github.com/go-kit/log                             v0.2.1                              go-module  
github.com/go-logfmt/logfmt                       v0.5.1                              go-module  
github.com/go-playground/locales                  v0.14.1                             go-module  
github.com/go-playground/universal-translator     v0.18.1                             go-module  
github.com/go-playground/validator/v10            v10.25.0                            go-module  
github.com/google/uuid                            v1.6.0                              go-module  
github.com/gorilla/websocket                      v1.5.3                              go-module  
github.com/hashicorp/errwrap                      v1.1.0                              go-module  
github.com/hashicorp/go-multierror                v1.1.1                              go-module  
github.com/labstack/echo/v4                       v4.13.3                             go-module  
github.com/labstack/gommon                        v0.4.2                              go-module  
github.com/leodido/go-urn                         v1.4.0                              go-module  
github.com/mattn/go-colorable                     v0.1.14                             go-module  
github.com/mattn/go-isatty                        v0.0.20                             go-module  
github.com/mitchellh/copystructure                v1.2.0                              go-module  
github.com/mitchellh/mapstructure                 v1.5.0                              go-module  
github.com/mitchellh/reflectwalk                  v1.0.2                              go-module  
github.com/rcrowley/go-metrics                    v0.0.0-20201227073835-cf1acfcdf475  go-module  
github.com/sirupsen/logrus                        v1.9.3                              go-module  
github.com/spf13/cast                             v1.7.1                              go-module  
github.com/valyala/bytebufferpool                 v1.0.0                              go-module  
github.com/valyala/fasttemplate                   v1.2.2                              go-module  
github.com/x448/float16                           v0.8.4                              go-module  
golang.org/x/crypto                               v0.33.0                             go-module  
golang.org/x/net                                  v0.34.0                             go-module  
golang.org/x/sync                                 v0.11.0                             go-module  
golang.org/x/sys                                  v0.30.0                             go-module  
golang.org/x/text                                 v0.22.0                             go-module  
gopkg.in/yaml.v3                                  v3.0.1                              go-module  
libcrypto3                                        3.3.3-r0                            apk        
libssl3                                           3.3.3-r0                            apk        
musl                                              1.2.5-r1                            apk        
musl-utils                                        1.2.5-r1                            apk        
scanelf                                           1.3.7-r2                            apk        
ssl_client                                        1.36.1-r29                          apk        
stdlib                                            go1.23.7                            go-module  
zlib                                              1.3.1-r1                            apk        
