NAME                                              VERSION                             TYPE       
alpine-baselayout                                 3.6.5-r0                            apk        
alpine-baselayout-data                            3.6.5-r0                            apk        
alpine-keys                                       2.4-r1                              apk        
apk-tools                                         2.14.4-r1                           apk        
busybox                                           1.36.1-r29                          apk        
busybox-binsh                                     1.36.1-r29                          apk        
ca-certificates-bundle                            20241121-r1                         apk        
dumb-init                                         1.2.5-r3                            apk        
github.com/OneOfOne/xxhash                        v1.2.8                              go-module  
github.com/asaskevich/govalidator                 v0.0.0-20230301143203-a9d515a09cc2  go-module  
github.com/cenkalti/backoff/v4                    v4.3.0                              go-module  
github.com/eclipse/paho.mqtt.golang               v1.5.0                              go-module  
github.com/edgexfoundry/device-modbus-go          v0.0.0-20250312071734-9509903560e2  go-module  
github.com/edgexfoundry/device-sdk-go/v4          v4.0.0                              go-module  
github.com/edgexfoundry/go-mod-bootstrap/v4       v4.0.3                              go-module  
github.com/edgexfoundry/go-mod-configuration/v4   v4.0.1                              go-module  
github.com/edgexfoundry/go-mod-core-contracts/v4  v4.0.1                              go-module  
github.com/edgexfoundry/go-mod-messaging/v4       v4.0.1                              go-module  
github.com/edgexfoundry/go-mod-registry/v4        v4.0.1                              go-module  
github.com/edgexfoundry/go-mod-secrets/v4         v4.0.1                              go-module  
github.com/fsnotify/fsnotify                      v1.7.0                              go-module  
github.com/fullsailor/pkcs7                       v0.0.0-20190404230743-d7302db945fa  go-module  
github.com/fxamacker/cbor/v2                      v2.7.0                              go-module  
github.com/gabriel-vasile/mimetype                v1.4.8                              go-module  
github.com/go-jose/go-jose/v4                     v4.0.5                              go-module  
github.com/go-kit/log                             v0.2.1                              go-module  
github.com/go-logfmt/logfmt                       v0.5.1                              go-module  
github.com/go-logr/logr                           v1.4.2                              go-module  
github.com/go-logr/stdr                           v1.2.2                              go-module  
github.com/go-openapi/analysis                    v0.23.0                             go-module  
github.com/go-openapi/errors                      v0.22.0                             go-module  
github.com/go-openapi/jsonpointer                 v0.21.0                             go-module  
github.com/go-openapi/jsonreference               v0.21.0                             go-module  
github.com/go-openapi/loads                       v0.22.0                             go-module  
github.com/go-openapi/runtime                     v0.28.0                             go-module  
github.com/go-openapi/spec                        v0.21.0                             go-module  
github.com/go-openapi/strfmt                      v0.23.0                             go-module  
github.com/go-openapi/swag                        v0.23.0                             go-module  
github.com/go-openapi/validate                    v0.24.0                             go-module  
github.com/go-playground/locales                  v0.14.1                             go-module  
github.com/go-playground/universal-translator     v0.18.1                             go-module  
github.com/go-playground/validator/v10            v10.25.0                            go-module  
github.com/go-resty/resty/v2                      v2.16.4                             go-module  
github.com/goburrow/modbus                        v0.1.0                              go-module  
github.com/goburrow/serial                        v0.1.0                              go-module  
github.com/golang-jwt/jwt/v5                      v5.2.1                              go-module  
github.com/google/uuid                            v1.6.0                              go-module  
github.com/gorilla/schema                         v1.4.1                              go-module  
github.com/gorilla/securecookie                   v1.1.2                              go-module  
github.com/gorilla/websocket                      v1.5.3                              go-module  
github.com/hashicorp/errwrap                      v1.1.0                              go-module  
github.com/hashicorp/go-multierror                v1.1.1                              go-module  
github.com/josharian/intern                       v1.0.0                              go-module  
github.com/kataras/go-events                      v0.0.3                              go-module  
github.com/labstack/echo/v4                       v4.13.3                             go-module  
github.com/labstack/gommon                        v0.4.2                              go-module  
github.com/leodido/go-urn                         v1.4.0                              go-module  
github.com/mailru/easyjson                        v0.7.7                              go-module  
github.com/mattn/go-colorable                     v0.1.14                             go-module  
github.com/mattn/go-isatty                        v0.0.20                             go-module  
github.com/mgutz/ansi                             v0.0.0-20200706080929-d51e80ef957d  go-module  
github.com/michaelquigley/pfxlog                  v0.6.10                             go-module  
github.com/mitchellh/copystructure                v1.2.0                              go-module  
github.com/mitchellh/go-ps                        v1.0.0                              go-module  
github.com/mitchellh/mapstructure                 v1.5.0                              go-module  
github.com/mitchellh/reflectwalk                  v1.0.2                              go-module  
github.com/muhlemmer/gu                           v0.3.1                              go-module  
github.com/oklog/ulid                             v1.3.1                              go-module  
github.com/opentracing/opentracing-go             v1.2.0                              go-module  
github.com/openziti/channel/v3                    v3.0.27                             go-module  
github.com/openziti/edge-api                      v0.26.38                            go-module  
github.com/openziti/foundation/v2                 v2.0.56                             go-module  
github.com/openziti/identity                      v1.0.94                             go-module  
github.com/openziti/metrics                       v1.2.65                             go-module  
github.com/openziti/sdk-golang                    v0.24.1                             go-module  
github.com/openziti/secretstream                  v0.1.28                             go-module  
github.com/openziti/transport/v2                  v2.0.160                            go-module  
github.com/orcaman/concurrent-map/v2              v2.0.1                              go-module  
github.com/panjf2000/ants/v2                      v2.11.2                             go-module  
github.com/parallaxsecond/parsec-client-go        v0.0.0-20221025095442-f0a77d263cf9  go-module  
github.com/pkg/errors                             v0.9.1                              go-module  
github.com/rcrowley/go-metrics                    v0.0.0-20201227073835-cf1acfcdf475  go-module  
github.com/shirou/gopsutil/v3                     v3.24.5                             go-module  
github.com/sirupsen/logrus                        v1.9.3                              go-module  
github.com/speps/go-hashids                       v2.0.0+incompatible                 go-module  
github.com/spf13/cast                             v1.7.1                              go-module  
github.com/spiffe/go-spiffe/v2                    v2.5.0                              go-module  
github.com/tklauser/go-sysconf                    v0.3.12                             go-module  
github.com/tklauser/numcpus                       v0.6.1                              go-module  
github.com/valyala/bytebufferpool                 v1.0.0                              go-module  
github.com/valyala/fasttemplate                   v1.2.2                              go-module  
github.com/x448/float16                           v0.8.4                              go-module  
github.com/zeebo/errs                             v1.4.0                              go-module  
github.com/zitadel/oidc/v2                        v2.12.2                             go-module  
go.mongodb.org/mongo-driver                       v1.17.0                             go-module  
go.opentelemetry.io/otel                          v1.32.0                             go-module  
go.opentelemetry.io/otel/metric                   v1.32.0                             go-module  
go.opentelemetry.io/otel/trace                    v1.32.0                             go-module  
golang.org/x/crypto                               v0.33.0                             go-module  
golang.org/x/exp                                  v0.0.0-20230817173708-d852ddb80c63  go-module  
golang.org/x/net                                  v0.35.0                             go-module  
golang.org/x/oauth2                               v0.25.0                             go-module  
golang.org/x/sync                                 v0.11.0                             go-module  
golang.org/x/sys                                  v0.30.0                             go-module  
golang.org/x/term                                 v0.29.0                             go-module  
golang.org/x/text                                 v0.22.0                             go-module  
golang.org/x/time                                 v0.8.0                              go-module  
google.golang.org/genproto/googleapis/rpc         v0.0.0-20241202173237-19429a94021a  go-module  
google.golang.org/grpc                            v1.70.0                             go-module  
google.golang.org/protobuf                        v1.36.3                             go-module  
gopkg.in/go-jose/go-jose.v2                       v2.6.3                              go-module  
gopkg.in/yaml.v3                                  v3.0.1                              go-module  
libcrypto3                                        3.3.3-r0                            apk        
libssl3                                           3.3.3-r0                            apk        
musl                                              1.2.5-r1                            apk        
musl-utils                                        1.2.5-r1                            apk        
scanelf                                           1.3.7-r2                            apk        
ssl_client                                        1.36.1-r29                          apk        
stdlib                                            go1.23.7                            go-module  
zlib                                              1.3.1-r1                            apk        
