NAME                                                VERSION                             TYPE                         
alpine-baselayout                                   3.2.0-r23                           apk                          
alpine-baselayout-data                              3.2.0-r23                           apk                          
alpine-keys                                         2.4-r1                              apk                          
apk-tools                                           2.12.9-r3                           apk                          
binutils-gold                                       2.38-r3                             apk                          
brotli-libs                                         1.0.9-r6                            apk                          
busybox                                             1.35.0-r17                          apk                          
ca-certificates                                     20230506-r0                         apk                          
ca-certificates-bundle                              20230506-r0                         apk                          
cmd/addr2line                                       UNKNOWN                             go-module                    
cmd/asm                                             UNKNOWN                             go-module                    
cmd/buildid                                         UNKNOWN                             go-module                    
cmd/cgo                                             UNKNOWN                             go-module                    
cmd/compile                                         UNKNOWN                             go-module                    
cmd/cover                                           UNKNOWN                             go-module                    
cmd/dist                                            UNKNOWN                             go-module                    
cmd/doc                                             UNKNOWN                             go-module                    
cmd/fix                                             UNKNOWN                             go-module                    
cmd/go                                              UNKNOWN                             go-module                    
cmd/gofmt                                           UNKNOWN                             go-module                    
cmd/link                                            UNKNOWN                             go-module                    
cmd/nm                                              UNKNOWN                             go-module                    
cmd/objdump                                         UNKNOWN                             go-module                    
cmd/pack                                            UNKNOWN                             go-module                    
cmd/pprof                                           UNKNOWN                             go-module                    
cmd/test2json                                       UNKNOWN                             go-module                    
cmd/trace                                           UNKNOWN                             go-module                    
cmd/vet                                             UNKNOWN                             go-module                    
d3-pprof                                            2.0.0                               npm                          
expat                                               2.5.0-r0                            apk                          
git                                                 2.36.6-r0                           apk                          
github.com/edgexfoundry/device-modbus-go/simulator  v0.0.0-20230629101836-5c5d1044de05  go-module                    
github.com/goburrow/serial                          v0.1.0                              go-module                    
github.com/tbrandon/mbserver                        v0.0.0-20170611213546-993e1772cc62  go-module                    
go                                                  1.15.15                             binary                       
go                                                  1.18.7-r0                           apk                          
libc-utils                                          0.7.2-r3                            apk                          
libcrypto1.1                                        1.1.1u-r1                           apk                          
libcurl                                             8.1.2-r0                            apk                          
libgcc                                              11.2.1_git20220219-r2               apk                          
libssl1.1                                           1.1.1u-r1                           apk                          
libstdc++                                           11.2.1_git20220219-r2               apk                          
musl                                                1.2.3-r3                            apk                          
musl-utils                                          1.2.3-r3                            apk                          
ncurses-libs                                        6.3_p20220521-r1                    apk                          
ncurses-terminfo-base                               6.3_p20220521-r1                    apk                          
nghttp2-libs                                        1.47.0-r0                           apk                          
pcre2                                               10.40-r0                            apk                          
readline                                            8.1.2-r0                            apk                          
scanelf                                             1.3.4-r0                            apk                          
socat                                               1.7.4.3-r0                          apk                          
ssl_client                                          1.35.0-r17                          apk                          
stdlib                                              go1.18.7                            go-module  (+19 duplicates)  
zlib                                                1.2.12-r3                           apk                          
