NAME                      VERSION                TYPE       
.postgresql-rundeps       20240724.012926        apk        
alpine-baselayout         3.6.5-r0               apk        
alpine-baselayout-data    3.6.5-r0               apk        
alpine-keys               2.4-r1                 apk        
apk-tools                 2.14.4-r0              apk        
bash                      5.2.26-r0              apk        
busybox                   1.36.1-r29             apk        
busybox-binsh             1.36.1-r29             apk        
ca-certificates-bundle    20240705-r0            apk        
gdbm                      1.23-r1                apk        
github.com/moby/sys/user  v0.1.0                 go-module  
github.com/tianon/gosu    UNKNOWN                go-module  
golang.org/x/sys          v0.13.0                go-module  
icu-data-full             74.2-r0                apk        
icu-libs                  74.2-r0                apk        
keyutils-libs             1.6.3-r3               apk        
krb5-conf                 1.0-r2                 apk        
krb5-libs                 1.21.3-r0              apk        
libcom_err                1.47.0-r5              apk        
libcrypto3                3.3.1-r3               apk        
libedit                   20240517.3.1-r0        apk        
libffi                    3.4.6-r0               apk        
libgcc                    13.2.1_git20240309-r0  apk        
libgcrypt                 1.10.3-r0              apk        
libgpg-error              1.49-r0                apk        
libldap                   2.6.7-r0               apk        
libncursesw               6.4_p20240420-r0       apk        
libsasl                   2.1.28-r6              apk        
libssl3                   3.3.1-r3               apk        
libstdc++                 13.2.1_git20240309-r0  apk        
libuuid                   2.40.1-r1              apk        
libverto                  0.3.2-r2               apk        
libxml2                   2.12.7-r0              apk        
libxslt                   1.1.39-r1              apk        
llvm15-libs               15.0.7-r13             apk        
lz4-libs                  1.9.4-r5               apk        
musl                      1.2.5-r0               apk        
musl-utils                1.2.5-r0               apk        
ncurses-terminfo-base     6.4_p20240420-r0       apk        
nss_wrapper               1.1.12-r1              apk        
postgresql                16.3                   binary     
readline                  8.2.10-r0              apk        
scanelf                   1.3.7-r2               apk        
ssl_client                1.36.1-r29             apk        
stdlib                    go1.18.2               go-module  
tzdata                    2024a-r1               apk        
xz-libs                   5.6.1-r3               apk        
zlib                      1.3.1-r1               apk        
zstd                      1.5.6-r0               apk        
zstd-libs                 1.5.6-r0               apk        
